276 covert files
ok sub-22/nirs/sub-22_task-covert_run-01_recording-eyetracking_physio.tsv 6082330
ok sub-15/nirs/sub-15_task-covert_run-01_nirs.snirf 183183392
ok sub-22/nirs/sub-22_task-covert_run-02_recording-eyetracking_physio.json 393
ok sub-23/nirs/sub-23_task-covert_run-01_events.tsv 823
ok sub-22/nirs/sub-22_task-covert_run-02_recording-eyetracking_physio.tsv 6005009
ok sub-23/nirs/sub-23_task-covert_run-01_nirs.json 372
ok sub-23/nirs/sub-23_task-covert_run-02_events.tsv 804
ok sub-23/nirs/sub-23_task-covert_run-02_nirs.json 373
ok sub-18/nirs/sub-18_task-covert_run-01_nirs.snirf 182535392
ok sub-24/nirs/sub-24_task-covert_run-01_events.tsv 828
ok sub-24/nirs/sub-24_task-covert_run-01_nirs.json 370
ok sub-20/nirs/sub-20_task-covert_run-01_nirs.snirf 174636192
ok sub-24/nirs/sub-24_task-covert_run-02_events.tsv 798
ok sub-24/nirs/sub-24_task-covert_run-02_nirs.json 372
ok sub-18/nirs/sub-18_task-covert_run-02_nirs.snirf 181271792
ok sub-22/nirs/sub-22_task-covert_run-02_nirs.snirf 189345152
ok sub-20/nirs/sub-20_task-covert_run-02_nirs.snirf 176708352
ok sub-25/nirs/sub-25_task-covert_run-01_events.tsv 1075
ok sub-25/nirs/sub-25_task-covert_run-01_nirs.json 373
ok sub-25/nirs/sub-25_task-covert_run-02_events.tsv 1070
ok sub-24/nirs/sub-24_task-covert_run-01_nirs.snirf 188178592
ok sub-25/nirs/sub-25_task-covert_run-02_nirs.json 370
ok sub-28/nirs/sub-28_task-covert_run-01_nirs.json 380
ok sub-28/nirs/sub-28_task-covert_run-01_events.tsv 1080
ok sub-28/nirs/sub-28_task-covert_run-01_recording-eyetracking_physio.json 393
ok sub-23/nirs/sub-23_task-covert_run-01_nirs.snirf 184096352
ok sub-28/nirs/sub-28_task-covert_run-01_recording-eyetracking_physio.tsv 5981177
ok sub-28/nirs/sub-28_task-covert_run-02_events.tsv 1062
ok sub-28/nirs/sub-28_task-covert_run-02_nirs.json 388
ok sub-28/nirs/sub-28_task-covert_run-02_recording-eyetracking_physio.json 390
ok sub-28/nirs/sub-28_task-covert_run-02_recording-eyetracking_physio.tsv 5155442
ok sub-29/nirs/sub-29_task-covert_run-01_events.tsv 726
ok sub-23/nirs/sub-23_task-covert_run-02_nirs.snirf 178815312
ok sub-29/nirs/sub-29_task-covert_run-01_nirs.json 388
ok sub-29/nirs/sub-29_task-covert_run-02_events.tsv 302
ok sub-29/nirs/sub-29_task-covert_run-02_nirs.json 380
ok sub-24/nirs/sub-24_task-covert_run-02_nirs.snirf 171913632
ok sub-30/nirs/sub-30_task-covert_run-01_events.tsv 999
ok sub-30/nirs/sub-30_task-covert_run-01_nirs.json 388
ok sub-28/nirs/sub-28_task-covert_run-01_nirs.snirf 180175152
ok sub-30/nirs/sub-30_task-covert_run-01_recording-eyetracking_physio.json 766
ok sub-30/nirs/sub-30_task-covert_run-01_recording-eyetracking_physio.tsv 5673456
ok sub-22/nirs/sub-22_task-covert_run-01_nirs.snirf 208656032
ok sub-25/nirs/sub-25_task-covert_run-01_nirs.snirf 185358992
ok sub-30/nirs/sub-30_task-covert_run-02_events.tsv 1001
ok sub-28/nirs/sub-28_task-covert_run-02_nirs.snirf 185910592
ok sub-25/nirs/sub-25_task-covert_run-02_nirs.snirf 176773152
ok sub-29/nirs/sub-29_task-covert_run-01_nirs.snirf 136048672
ok sub-30/nirs/sub-30_task-covert_run-02_nirs.json 388
ok sub-31/nirs/sub-31_task-covert_run-01_events.tsv 1071
ok sub-30/nirs/sub-30_task-covert_run-02_recording-eyetracking_physio.json 766
ok sub-31/nirs/sub-31_task-covert_run-01_nirs.json 388
ok sub-29/nirs/sub-29_task-covert_run-02_nirs.snirf 127165840
ok sub-31/nirs/sub-31_task-covert_run-01_recording-eyetracking_physio.json 764
ok sub-31/nirs/sub-31_task-covert_run-02_events.tsv 1062
ok sub-31/nirs/sub-31_task-covert_run-02_nirs.json 380
ok sub-30/nirs/sub-30_task-covert_run-02_recording-eyetracking_physio.tsv 5530650
ok sub-31/nirs/sub-31_task-covert_run-02_recording-eyetracking_physio.json 763
ok sub-31/nirs/sub-31_task-covert_run-01_recording-eyetracking_physio.tsv 2928761
ok sub-32/nirs/sub-32_task-covert_run-01_events.tsv 1012
ok sub-32/nirs/sub-32_task-covert_run-01_nirs.json 388
ok sub-32/nirs/sub-32_task-covert_run-01_recording-eyetracking_physio.json 766
ok sub-31/nirs/sub-31_task-covert_run-02_recording-eyetracking_physio.tsv 2763207
ok sub-32/nirs/sub-32_task-covert_run-02_events.tsv 1016
ok sub-32/nirs/sub-32_task-covert_run-02_nirs.json 378
ok sub-32/nirs/sub-32_task-covert_run-01_recording-eyetracking_physio.tsv 3061449
ok sub-32/nirs/sub-32_task-covert_run-02_recording-eyetracking_physio.json 765
ok sub-33/nirs/sub-33_task-covert_run-01_events.tsv 1010
ok sub-33/nirs/sub-33_task-covert_run-01_nirs.json 388
ok sub-32/nirs/sub-32_task-covert_run-02_recording-eyetracking_physio.tsv 2811055
ok sub-33/nirs/sub-33_task-covert_run-01_recording-eyetracking_physio.json 766
ok sub-33/nirs/sub-33_task-covert_run-01_recording-eyetracking_physio.tsv 5609774
ok sub-30/nirs/sub-30_task-covert_run-02_nirs.snirf 177259952
ok sub-30/nirs/sub-30_task-covert_run-01_nirs.snirf 182378352
ok sub-31/nirs/sub-31_task-covert_run-01_nirs.snirf 186622592
ok sub-32/nirs/sub-32_task-covert_run-02_nirs.snirf 180012672
ok sub-33/nirs/sub-33_task-covert_run-02_recording-eyetracking_physio.json 764
ok sub-33/nirs/sub-33_task-covert_run-02_events.tsv 1003
ok sub-33/nirs/sub-33_task-covert_run-02_nirs.json 378
ok sub-33/nirs/sub-33_task-covert_run-02_recording-eyetracking_physio.tsv 5383797
ok sub-31/nirs/sub-31_task-covert_run-02_nirs.snirf 178750192
ok sub-34/nirs/sub-34_task-covert_run-01_events.tsv 1009
ok sub-34/nirs/sub-34_task-covert_run-01_nirs.json 380
ok sub-34/nirs/sub-34_task-covert_run-01_recording-eyetracking_physio.json 766
ok sub-34/nirs/sub-34_task-covert_run-02_events.tsv 989
ok sub-34/nirs/sub-34_task-covert_run-01_recording-eyetracking_physio.tsv 2631796
ok sub-34/nirs/sub-34_task-covert_run-02_nirs.json 379
ok sub-34/nirs/sub-34_task-covert_run-02_recording-eyetracking_physio.json 767
ok sub-35/nirs/sub-35_task-covert_run-01_events.tsv 1009
ok sub-35/nirs/sub-35_task-covert_run-01_nirs.json 380
ok sub-32/nirs/sub-32_task-covert_run-01_nirs.snirf 198934432
ok sub-34/nirs/sub-34_task-covert_run-02_recording-eyetracking_physio.tsv 2610895
ok sub-35/nirs/sub-35_task-covert_run-01_recording-eyetracking_physio.json 766
ok sub-35/nirs/sub-35_task-covert_run-02_events.tsv 997
ok sub-35/nirs/sub-35_task-covert_run-02_nirs.json 378
ok sub-35/nirs/sub-35_task-covert_run-01_recording-eyetracking_physio.tsv 3630875
ok sub-35/nirs/sub-35_task-covert_run-02_recording-eyetracking_physio.json 765
ok sub-33/nirs/sub-33_task-covert_run-01_nirs.snirf 183546032
ok sub-39/nirs/sub-39_task-covert_run-01_events.tsv 1006
ok sub-35/nirs/sub-35_task-covert_run-02_recording-eyetracking_physio.tsv 2711180
ok sub-39/nirs/sub-39_task-covert_run-01_recording-eyetracking_physio.json 767
ok sub-39/nirs/sub-39_task-covert_run-01_nirs.json 380
ok sub-39/nirs/sub-39_task-covert_run-02_events.tsv 1004
ok sub-39/nirs/sub-39_task-covert_run-02_nirs.json 388
ok sub-39/nirs/sub-39_task-covert_run-01_recording-eyetracking_physio.tsv 6248642
ok sub-39/nirs/sub-39_task-covert_run-02_recording-eyetracking_physio.json 766
ok sub-35/nirs/sub-35_task-covert_run-01_nirs.snirf 177647792
ok sub-39/nirs/sub-39_task-covert_run-02_recording-eyetracking_physio.tsv 6154114
ok sub-41/nirs/sub-41_task-covert_run-01_events.tsv 1017
